County Name,COL Score
"Mendocino County, California",117
"Tuolumne County, California",117
"Inyo County, California",117
"Stanislaus County, California",115
"Calaveras County, California",115
"Amador County, California",114
"Butte County, California",111
"Sutter County, California",111
"Yuba County, California",110
"Merced County, California",108
"Humboldt County, California",108
"Plumas County, California",106
"Lake County, California",106
"Shasta County, California",106
"Mariposa County, California",105
"Fresno County, California",103
"Madera County, California",102
"Colusa County, California",101
"Tehama County, California",100
"Kern County, California",99
"Glenn County, California",98
"Sierra County, California",97
"Tulare County, California",97
"Trinity County, California",95
"Kings County, California",95
"Imperial County, California",94
"Del Norte County, California",93
"Siskiyou County, California",92
"Lassen County, California",91
"Modoc County, California",88
"Pitkin County, Colorado",222
"Eagle County, Colorado",165
"San Miguel County, Colorado",162
"Summit County, Colorado",161
"Elbert County, Colorado",148
"Boulder County, Colorado",142
"Douglas County, Colorado",141
"Routt County, Colorado",136
"Broomfield County, Colorado",131
"Jefferson County, Colorado",131
"Denver County, Colorado",129
"Ouray County, Colorado",128
"Garfield County, Colorado",126
"Park County, Colorado",124
"Arapahoe County, Colorado",124
"La Plata County, Colorado",124
"Clear Creek County, Colorado",122
"Hinsdale County, Colorado",121
"Gilpin County, Colorado",120
"Gunnison County, Colorado",120
"Adams County, Colorado",119
"Larimer County, Colorado",118
"Chaffee County, Colorado",117
"Archuleta County, Colorado",116
"Mineral County, Colorado",114
"Grand County, Colorado",113
"San Juan County, Colorado",112
"Weld County, Colorado",112
"Teller County, Colorado",111
"Custer County, Colorado",109
"El Paso County, Colorado",107
"Delta County, Colorado",102
"Montezuma County, Colorado",101
"Lake County, Colorado",101
"Rio Blanco County, Colorado",101
"Montrose County, Colorado",100
"Mesa County, Colorado",98
"Jackson County, Colorado",96
"Moffat County, Colorado",96
"Fremont County, Colorado",92
"Morgan County, Colorado",91
"Saguache County, Colorado",90
"Yuma County, Colorado",89
"Huerfano County, Colorado",87
"Dolores County, Colorado",87
"Alamosa County, Colorado",87
"Pueblo County, Colorado",87
"Phillips County, Colorado",87
"Las Animas County, Colorado",87
"Washington County, Colorado",86
"Kit Carson County, Colorado",86
"Rio Grande County, Colorado",85
"Conejos County, Colorado",84
"Logan County, Colorado",84
"Lincoln County, Colorado",84
"Costilla County, Colorado",84
"Sedgwick County, Colorado",80
"Prowers County, Colorado",80
"Cheyenne County, Colorado",78
"Crowley County, Colorado",77
"Kiowa County, Colorado",77
"Baca County, Colorado",77
"Bent County, Colorado",77
"Otero County, Colorado",74
"Fairfield County, Connecticut",127
"Middlesex County, Connecticut",114
"Litchfield County, Connecticut",107
"New Haven County, Connecticut",105
"Hartford County, Connecticut",105
"New London County, Connecticut",104
"Tolland County, Connecticut",103
"Windham County, Connecticut",96
"District of Columbia County, District of Columbia",156
"Sussex County, Delaware",107
"New Castle County, Delaware",105
"Kent County, Delaware",99
"Monroe County, Florida",147
"Walton County, Florida",120
"Miami-Dade County, Florida",119
"Collier County, Florida",113
"Palm Beach County, Florida",113
"Broward County, Florida",112
"Nassau County, Florida",112
"St. Johns County, Florida",111
"Martin County, Florida",106
"Seminole County, Florida",106
"Orange County, Florida",105
"Sarasota County, Florida",104
"Lee County, Florida",103
"Manatee County, Florida",103
"Sumter County, Florida",102
"Hillsborough County, Florida",102
"Pinellas County, Florida",102
"Osceola County, Florida",101
"Franklin County, Florida",101
"Lake County, Florida",100
"Clay County, Florida",100
"Okaloosa County, Florida",99
"St. Lucie County, Florida",99
"Santa Rosa County, Florida",98
"Indian River County, Florida",98
"Flagler County, Florida",98
"Wakulla County, Florida",97
"Bay County, Florida",96
"Jefferson County, Florida",95
"Pasco County, Florida",95
"Baker County, Florida",95
"Duval County, Florida",94
"Brevard County, Florida",94
"Volusia County, Florida",94
"Leon County, Florida",94
"Hernando County, Florida",94
"Charlotte County, Florida",93
"Alachua County, Florida",92
"Polk County, Florida",90
"Gilchrist County, Florida",89
"Gulf County, Florida",89
"Escambia County, Florida",88
"Marion County, Florida",87
"Citrus County, Florida",87
"Lafayette County, Florida",85
"Columbia County, Florida",85
"Bradford County, Florida",85
"Suwannee County, Florida",84
"Hendry County, Florida",84
"Gadsden County, Florida",83
"Okeechobee County, Florida",83
"Highlands County, Florida",83
"DeSoto County, Florida",82
"Levy County, Florida",82
"Madison County, Florida",82
"Washington County, Florida",82
"Glades County, Florida",82
"Union County, Florida",81
"Calhoun County, Florida",80
"Hardee County, Florida",80
"Liberty County, Florida",80
"Putnam County, Florida",79
"Hamilton County, Florida",79
"Holmes County, Florida",79
"Jackson County, Florida",78
"Dixie County, Florida",78
"Taylor County, Florida",76
"Forsyth County, Georgia",120
"Fulton County, Georgia",113
"Greene County, Georgia",112
"Fayette County, Georgia",111
"Cherokee County, Georgia",110
"Dawson County, Georgia",110
"Cobb County, Georgia",109
"Oconee County, Georgia",107
"Coweta County, Georgia",104
"Morgan County, Georgia",103
"DeKalb County, Georgia",102
"Bryan County, Georgia",102
"Walton County, Georgia",100
"Gwinnett County, Georgia",99
"Pickens County, Georgia",99
"Paulding County, Georgia",99
"Henry County, Georgia",99
"Pike County, Georgia",98
"Harris County, Georgia",98
"Barrow County, Georgia",97
"Douglas County, Georgia",96
"Rockdale County, Georgia",96
"Carroll County, Georgia",96
"Newton County, Georgia",96
"Columbia County, Georgia",95
"Effingham County, Georgia",95
"Lumpkin County, Georgia",94
"Heard County, Georgia",94
"Jasper County, Georgia",94
"Haralson County, Georgia",94
